content_title,content_content,editor_name
일생 단 한번의 기회!,5천원 할인받기??,시우가룬
매일 매일 출석하고,포인트+기프트카드 받기??,시우가룬
올영세일 APP과 매장에서 만나요!,선착순 쿠폰 + 최대 70% 할인??,시우가룬
예상등급 레벨 UP 할 때마다??,선물도 LEVEL UP! ??,시우가룬
결제시 마다! 한도 제한없이??,페이코 3.5% + 3.5% 더블 적립 혜택!,시우가룬
네이버페이로 첫결제 하면?,3천원 네이버페이 포인트 100% 지급??,시우가룬
2021 어워즈&페스타 COMING SOON,온-오프라인에서 함께 만나보세요!,시우가룬
멤버십 단독 컬쳐페스타,컬쳐페스타 뮤지컬 <젠틀맨스가이드> 초대 이벤트,시우가룬
올라이브x올영세일 2탄??,6일에도 시크릿쿠폰 + 선착순 특가딜??선물이 와르르,시우가룬
ONLY 탑리뷰어 [ON탑쿠폰],"매주, 탑리뷰어만 받을 수 있는 파격쿠폰",시우가룬
보테가베네타의 주인공은 누구?!,12월 올라이브 카톡채널 추가하고 GET,시우가룬
이번달 생일인 올리브라면???,가까운 매장에서 미니 샘플러를 드려요,시우가룬
올리브영 유튜브 채널구독 이벤트,<올영TV> 구독하고 선물 받자??,시우가룬
시청 후 구매하면 100% 당첨!,최대 1만 포인트 GET! ??,시우가룬
[뷰티사이클캠페인] 용기내주세요,올리브영 29개 매장에서 화장품 용기 수거를 시작합니다.,시우가룬
탑리뷰어에게 선물 도-착!??,"더↑ 업그레이드 된 혜택 알아보고, 나도 탑리뷰어 도전!",시우가룬
시청 후 구매하면 100% 당첨!,최대 1만 포인트 GET! ??,시우가룬
카카오뱅크 체크카드가 있다면?,매월 2천원씩! 돌려 받자??,시우가룬
"올리브영이 픽한 이달의 ""올영p!ck""",온-오프라인에서 함께 만나보세요!,시우가룬
오늘드림 미션 달성하면?,아이폰13미니 드림?? 쿠폰북은 보너스!,시우가룬
